,Value
0,0.3844395972558006
1,0.3870702374592929
2,0.3898965512144841
3,0.3930177521961835
4,0.39642916669736844
5,0.4001966950409961
6,0.4043596062157775
7,0.4089920296482078
8,0.4141728477581384
9,0.4200097960282008
10,0.4266329667396167
11,0.43420778236665164
12,0.4429390016202587
13,0.4530836935281242
14,0.46496436964089405
15,0.4789898016582004
16,0.49568218828973426
17,0.5157157077372048
18,0.5399694178921266
19,0.5696014553801321
20,0.6061536055438261
21,0.6517015090504279
22,0.7090745050913658
23,0.7821848708153004
24,0.8765327372396948
